city_id,Cloudiness,Country,Humidity,Latitude,Longitude,Temperature (F),Wind Speed,Date,City
154,96,RU,70,58.4497,92.1703,46.26,14.63,1620353667,yeniseysk
155,6,ZA,95,-34.0033,24.7314,61.0,1.01,1620353668,kruisfontein
156,100,MY,96,2.0167,112.9333,77.67,1.25,1620353668,kapit
157,96,YE,64,13.8141,44.6301,72.52,5.14,1620353669,bajah
158,50,RU,64,62.0961,77.475,41.74,16.31,1620353669,raduzhnyy
159,60,ID,73,-0.8833,131.25,83.05,2.3,1620353669,sorong
160,96,ID,67,-9.1061,124.8925,81.61,1.59,1620353670,atambua
161,100,RU,65,50.3691,119.1012,46.17,7.36,1620353670,priargunsk
162,99,CN,65,31.1783,115.0319,73.06,5.39,1620353670,macheng
163,4,AU,82,-28.7667,114.6,66.2,8.05,1620353671,geraldton
164,19,PF,69,-16.4833,-151.75,82.56,13.04,1620353671,faanui
165,5,BR,78,-14.4547,-56.8028,63.37,2.75,1620353672,nortelandia
166,9,BR,94,-32.035,-52.0986,46.99,12.68,1620353672,rio grande
167,0,AR,74,-34.6515,-59.4307,48.99,3.15,1620353672,mercedes
168,1,AU,73,-24.8667,113.6333,71.6,14.97,1620353673,carnarvon
169,100,TZ,81,-4.9667,39.8333,78.42,16.64,1620353673,micheweni
170,1,US,61,43.1548,-77.6156,45.0,4.27,1620353220,rochester
171,97,PG,75,-2.0226,147.2712,84.24,5.53,1620353674,lorengau
172,100,PH,70,8.1064,122.6208,86.59,8.03,1620353674,patawag
173,38,AO,85,-15.1961,12.1522,74.44,4.63,1620353674,namibe
174,10,SD,55,14.2,24.6667,72.5,5.35,1620353675,kutum
175,3,KZ,54,44.5086,50.263,55.69,4.83,1620353675,fort-shevchenko
176,100,CA,75,44.6453,-63.5724,43.0,6.91,1620353624,halifax
177,41,AR,69,-43.3002,-65.1023,52.75,9.28,1620353676,rawson
178,0,BR,50,-22.7311,-48.5706,75.2,3.44,1620353676,sao manuel
179,69,PG,63,-6.3164,155.4848,82.6,3.76,1620353676,panguna
180,5,MX,74,17.9583,-102.2,77.97,4.94,1620353677,lazaro cardenas
181,100,CN,75,23.2281,110.8261,82.35,3.29,1620353677,jinji
182,6,PY,97,-25.1833,-56.4,47.3,2.62,1620353678,carayao
183,5,BD,63,23.03,91.5069,84.06,3.87,1620353678,chhagalnaiya
184,0,RU,93,64.75,177.4833,23.0,4.47,1620353678,anadyr
185,0,BR,94,-7.2597,-34.9075,75.2,4.61,1620353679,conde
186,91,GL,81,60.1432,-45.2371,35.47,5.44,1620353679,nanortalik
187,5,AR,74,-38.5473,-58.7368,53.15,7.45,1620353679,necochea
188,20,SJ,67,78.2186,15.6401,15.8,14.97,1620353680,longyearbyen
189,40,CL,100,-41.8697,-73.8203,41.0,4.61,1620353680,ancud
190,0,ES,77,29.0605,-13.564,64.4,9.22,1620353681,teguise
191,99,IN,71,11.6667,92.75,84.38,12.95,1620353681,port blair
192,75,VE,100,7.7669,-72.225,73.4,9.22,1620353681,san cristobal
193,0,SA,41,18.2164,42.5053,64.4,4.61,1620353682,abha
194,90,CA,93,63.7506,-68.5145,32.0,9.22,1620353682,iqaluit
195,96,BR,86,-2.5364,-57.76,76.32,2.44,1620353683,urucara
196,15,GB,93,51.9997,-0.9878,37.99,5.01,1620353683,buckingham
197,73,ZA,84,-33.5906,26.891,67.77,15.93,1620353683,port alfred
198,78,CN,12,41.7597,86.1469,74.7,1.97,1620353684,korla
199,12,NA,56,-17.9333,19.7667,61.25,5.88,1620353684,rundu
200,40,MU,94,-20.5167,57.5167,73.4,14.97,1620353684,souillac
201,99,MX,93,16.3167,-91.9833,63.45,3.15,1620353685,las margaritas
202,0,NA,82,-22.9575,14.5053,59.0,3.44,1620353685,walvis bay
203,90,AU,100,-35.35,150.4667,64.99,8.05,1620353686,ulladulla
204,20,VN,62,16.0678,108.2208,87.8,4.61,1620353471,turan
205,98,CN,75,25.7,100.1833,60.75,3.78,1620353686,dali
206,94,MX,42,25.35,-105.7333,69.58,2.82,1620353687,santa catarina de tepehuanes
207,14,RU,84,65.5833,-171.0,30.49,3.56,1620353687,lavrentiya
208,64,ZA,88,-33.0117,17.9442,57.2,3.44,1620353687,saldanha
209,90,FR,82,46.25,3.5833,51.8,6.91,1620353688,vichy
210,61,CN,4,40.2833,97.2,73.81,13.51,1620353688,yumen
211,90,GL,74,69.2167,-51.1,32.0,5.75,1620353689,ilulissat
212,90,CA,100,47.6666,-52.7314,36.0,5.75,1620353689,torbay
213,0,TN,63,32.9297,10.4518,64.4,4.61,1620353689,tatawin
214,37,CL,100,-45.5752,-72.0662,30.2,1.5,1620353690,coihaique
215,20,BB,65,13.2167,-59.5167,78.8,23.02,1620353690,bathsheba
216,1,IL,38,31.61,34.7642,66.99,4.41,1620353691,gat
217,100,MX,48,27.6667,-105.1667,73.11,8.77,1620353691,camargo
218,100,RU,99,53.5739,142.9478,32.02,14.79,1620353691,okha
219,94,FO,87,62.2266,-6.589,35.6,8.05,1620353692,klaksvik
220,99,TR,70,40.0458,42.1728,51.33,3.4,1620353692,horasan
221,40,IR,100,37.2808,49.5832,55.4,2.46,1620353496,rasht
222,20,CA,30,62.456,-114.3525,53.6,10.36,1620353595,yellowknife
223,1,US,49,32.2163,-80.7526,73.4,3.44,1620353474,hilton head island
224,90,GL,93,64.1835,-51.7216,28.4,10.36,1620353693,nuuk
225,82,PE,71,-5.5569,-80.8222,71.22,14.52,1620353693,sechura
226,89,RU,91,71.9167,114.0833,24.04,3.47,1620353694,saskylakh
227,100,JP,72,35.1333,140.3,69.01,1.99,1620353694,katsuura
228,100,US,69,41.1312,-74.3674,54.0,5.23,1620353481,west milford
229,100,NC,72,-21.55,167.8833,79.72,7.54,1620353695,tadine
230,0,MM,42,18.8167,95.2167,90.52,6.53,1620353695,pyay
231,4,ES,51,40.4165,0.4271,64.99,1.01,1620353696,benicarlo
232,61,CV,80,14.8961,-24.4956,71.85,4.05,1620353696,sao filipe
233,90,IT,93,46.6166,10.7002,46.0,2.73,1620353696,lasa
234,40,AU,100,-33.8667,121.9,62.6,6.91,1620353697,esperance
235,75,US,57,30.2947,-81.3931,78.8,13.8,1620353503,jacksonville beach
